d_4_bw_4_r_364.npz, elapsed time 11.33 sec
d_4_bw_4_r_413.npz, elapsed time 6.31 sec
d_4_bw_4_r_424.npz, elapsed time 6.48 sec
d_4_bw_4_r_451.npz, elapsed time 6.47 sec
d_4_bw_4_r_457.npz, elapsed time 8.79 sec
d_4_bw_4_r_485.npz, elapsed time 11.33 sec
d_4_bw_4_r_518.npz, elapsed time 11.29 sec
d_4_bw_4_r_549.npz, elapsed time 11.24 sec
d_4_bw_4_r_581.npz, elapsed time 10.52 sec
d_4_bw_4_r_611.npz, elapsed time 11.27 sec
d_4_bw_4_r_642.npz, elapsed time 11.28 sec
d_4_bw_4_r_674.npz, elapsed time 11.30 sec
d_4_bw_4_r_705.npz, elapsed time 11.26 sec
d_4_bw_4_r_735.npz, elapsed time 11.26 sec
d_4_bw_4_r_767.npz, elapsed time 11.26 sec
d_4_bw_4_r_798.npz, elapsed time 11.25 sec
d_4_bw_4_r_829.npz, elapsed time 11.26 sec
d_4_bw_4_r_861.npz, elapsed time 11.25 sec
d_4_bw_4_r_892.npz, elapsed time 11.22 sec
d_4_bw_4_r_923.npz, elapsed time 11.23 sec
d_4_bw_4_r_955.npz, elapsed time 9.40 sec
d_4_bw_4_r_982.npz, elapsed time 8.51 sec
d_4_bw_4_r_1007.npz, elapsed time 11.33 sec
d_4_bw_4_r_1038.npz, elapsed time 11.33 sec
d_4_bw_4_r_1070.npz, elapsed time 8.40 sec
d_4_bw_4_r_1092.npz, elapsed time 7.39 sec
d_4_bw_4_r_1113.npz, elapsed time 10.53 sec
d_4_bw_4_r_1143.npz, elapsed time 6.43 sec
d_4_bw_4_r_1160.npz, elapsed time 6.49 sec
d_4_bw_4_r_1180.npz, elapsed time 6.29 sec
d_4_bw_4_r_1195.npz, elapsed time 6.29 sec
d_4_bw_4_r_1212.npz, elapsed time 8.18 sec
d_4_bw_4_r_1236.npz, elapsed time 11.35 sec
d_4_bw_4_r_1269.npz, elapsed time 11.27 sec
d_4_bw_4_r_1301.npz, elapsed time 11.45 sec
d_4_bw_4_r_1333.npz, elapsed time 11.43 sec
d_4_bw_4_r_1363.npz, elapsed time 6.31 sec
d_6_bw_4_r_388.npz, elapsed time 20.67 sec
d_6_bw_4_r_414.npz, elapsed time 13.03 sec
d_6_bw_4_r_425.npz, elapsed time 13.07 sec
d_6_bw_4_r_451.npz, elapsed time 13.05 sec
d_6_bw_4_r_458.npz, elapsed time 13.09 sec
d_6_bw_4_r_484.npz, elapsed time 15.19 sec
d_6_bw_4_r_511.npz, elapsed time 20.53 sec
d_6_bw_4_r_541.npz, elapsed time 18.54 sec
d_6_bw_4_r_571.npz, elapsed time 13.28 sec
d_6_bw_4_r_580.npz, elapsed time 12.98 sec
d_6_bw_4_r_604.npz, elapsed time 13.12 sec
d_6_bw_4_r_628.npz, elapsed time 13.65 sec
d_6_bw_4_r_639.npz, elapsed time 13.98 sec
d_6_bw_4_r_663.npz, elapsed time 14.06 sec
d_6_bw_4_r_689.npz, elapsed time 13.39 sec
d_6_bw_4_r_700.npz, elapsed time 13.02 sec
d_6_bw_4_r_723.npz, elapsed time 13.85 sec
d_6_bw_4_r_749.npz, elapsed time 12.93 sec
d_6_bw_4_r_758.npz, elapsed time 12.93 sec
d_6_bw_4_r_782.npz, elapsed time 12.94 sec
d_6_bw_4_r_804.npz, elapsed time 13.05 sec
d_6_bw_4_r_818.npz, elapsed time 13.01 sec
d_6_bw_4_r_841.npz, elapsed time 12.98 sec
d_6_bw_4_r_858.npz, elapsed time 12.97 sec
d_6_bw_4_r_877.npz, elapsed time 12.95 sec
d_6_bw_4_r_901.npz, elapsed time 16.87 sec
d_6_bw_4_r_925.npz, elapsed time 20.46 sec
d_6_bw_4_r_955.npz, elapsed time 20.47 sec
d_6_bw_4_r_986.npz, elapsed time 20.47 sec
d_6_bw_4_r_1015.npz, elapsed time 20.46 sec
d_6_bw_4_r_1046.npz, elapsed time 20.50 sec
d_6_bw_4_r_1077.npz, elapsed time 20.46 sec
d_6_bw_4_r_1106.npz, elapsed time 20.70 sec
d_6_bw_4_r_1137.npz, elapsed time 20.68 sec
d_6_bw_4_r_1167.npz, elapsed time 14.00 sec
d_6_bw_4_r_1185.npz, elapsed time 13.27 sec
d_6_bw_4_r_1207.npz, elapsed time 19.33 sec
d_6_bw_4_r_1236.npz, elapsed time 20.41 sec
d_6_bw_4_r_1267.npz, elapsed time 20.40 sec
d_6_bw_4_r_1297.npz, elapsed time 20.38 sec
d_6_bw_4_r_1329.npz, elapsed time 20.40 sec
d_6_bw_4_r_1358.npz, elapsed time 16.14 sec
d_8_bw_4_r_387.npz, elapsed time 41.98 sec
d_8_bw_4_r_417.npz, elapsed time 41.27 sec
d_8_bw_4_r_430.npz, elapsed time 36.37 sec
d_8_bw_4_r_456.npz, elapsed time 28.28 sec
d_8_bw_4_r_482.npz, elapsed time 28.29 sec
d_8_bw_4_r_508.npz, elapsed time 28.22 sec
d_8_bw_4_r_517.npz, elapsed time 28.33 sec
d_8_bw_4_r_544.npz, elapsed time 28.46 sec
d_8_bw_4_r_567.npz, elapsed time 29.06 sec
d_8_bw_4_r_580.npz, elapsed time 28.42 sec
d_8_bw_4_r_605.npz, elapsed time 30.38 sec
d_8_bw_4_r_629.npz, elapsed time 41.80 sec
d_8_bw_4_r_659.npz, elapsed time 38.52 sec
d_8_bw_4_r_686.npz, elapsed time 37.73 sec
d_8_bw_4_r_714.npz, elapsed time 41.74 sec
d_8_bw_4_r_744.npz, elapsed time 41.30 sec
d_8_bw_4_r_773.npz, elapsed time 41.38 sec
d_8_bw_4_r_803.npz, elapsed time 41.29 sec
d_8_bw_4_r_831.npz, elapsed time 41.33 sec
d_8_bw_4_r_860.npz, elapsed time 39.88 sec
d_8_bw_4_r_889.npz, elapsed time 28.63 sec
d_8_bw_4_r_911.npz, elapsed time 28.36 sec
d_8_bw_4_r_928.npz, elapsed time 28.48 sec
d_8_bw_4_r_950.npz, elapsed time 28.38 sec
d_8_bw_4_r_971.npz, elapsed time 28.46 sec
d_8_bw_4_r_990.npz, elapsed time 37.90 sec
